Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,D66,GL,SGP,GPV,RPF,CD,SP,De Groenen,Vrouwenpartij,Bejaarden Centraal,VCN: partij van communisten in Nederland,Realisten Nederland,Socialistische Arbeiderspartij,Anti Werkloosheid Partij,Politieke Partij voor Ouderen,Vooruitstrevende Minderheden Partij,Partij Democratisch Socialisten,Socialistische Minderheden Partij,Humanistische Partij,Milieu Defensie Partij 2000+,Grote Alliance Partij,Staatkundige Federatie
11318,802,Hooge en Lage Zwaluwe,3732,10,"0,27 %",4584,3742,"81,63 %",1591,1124,577,205,112,23,7,36,27,3,12,5,0,0,4,4,2,0,0,0,0,0,0,0,0
10657,800,Hoogeloon c.a.,5154,13,"0,25 %",6048,5167,"85,43 %",3192,970,536,281,115,2,5,6,15,6,14,3,1,0,5,2,0,0,1,0,0,0,0,0,0
10839,118,Hoogeveen,28496,84,"0,29 %",33421,28580,"85,52 %",11469,10012,2534,1518,720,296,851,830,98,37,30,28,0,21,31,10,6,0,5,0,0,0,0,0,0
10410,18,Hoogezand-Sappemeer,20816,46,"0,22 %",25821,20862,"80,79 %",3481,11464,2654,1347,847,26,498,146,88,65,41,29,0,34,65,16,7,0,8,0,0,0,0,0,0
11392,405,Hoorn,32198,73,"0,23 %",40386,32271,"79,91 %",8511,11189,6270,3292,1832,28,116,172,322,36,188,77,39,53,17,14,13,22,7,0,0,0,0,0,0
11176,922,Horn,2240,8,"0,36 %",2897,2248,"77,60 %",1173,537,320,117,72,2,1,3,6,1,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0
11108,923,Horst,11105,18,"0,16 %",13477,11123,"82,53 %",7278,2170,789,473,214,11,20,8,28,74,13,13,5,0,3,2,3,0,1,0,0,0,0,0,0
10230,321,Houten,14561,25,"0,17 %",16984,14586,"85,88 %",5751,3047,2389,1477,668,472,317,232,95,44,28,17,7,5,3,2,1,0,2,1,1,2,0,0,0
10466,803,Huijbergen,1261,3,"0,24 %",1535,1264,"82,35 %",649,254,212,93,33,1,4,3,5,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
11047,255,Huissen,9443,31,"0,33 %",11268,9474,"84,08 %",4286,2677,1346,762,237,11,23,19,30,10,11,7,0,3,6,6,1,7,1,0,0,0,0,0,0
